city_name,state_abbr,year,city_key,median_household_income,median_gross_rent,median_home_value,unemployed_population,total_population,commute_total,commute_public_transit,avg_high_temp_c,avg_low_temp_c,annual_precip_mm,snow_days,avg_sunshine_hrs_per_day,city_state,days_with_aqi,good_days,moderate_days,unhealthy_sens_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm25,days_pm10,arrests_per_person,arrests_per_100k
New York City,NY,2023,new_york_city_ny,46628,1039,120600,8384,209720,94802,5160,17.9,8.6,1520.1,18,8.7,"New York City, NY",365.0,107.0,234.0,17.0,6.0,1.0,0.0,278.0,56.0,0.0,15.0,101.0,249.0,0.0,0.0200284522323841,2002.84522323841
Philadelphia,PA,2023,philadelphia_pa,60698,1323,232400,68006,1582432,722263,129121,19.4,9.2,1200.6,7,8.8,"Philadelphia, PA",365.0,66.0,274.0,19.0,4.0,1.0,1.0,331.0,59.0,0.0,1.0,82.0,282.0,0.0,0.0210783219212067,2107.8321921206707
Nashville,TN,2023,nashville_tn,75197,1486,383100,18357,684298,376578,6260,21.9,11.2,1534.7,5,9.0,"Nashville, TN",365.0,128.0,227.0,10.0,0.0,0.0,0.0,133.0,54.0,0.0,2.0,95.0,268.0,0.0,0.035227828201701,3522.782820170108
Houston,TX,2023,houston_tx,60487,1137,197900,6560,261078,128307,860,27.1,17.8,1453.1,0,9.1,"Houston, TX",365.0,36.0,272.0,45.0,11.0,1.0,0.0,205.0,65.0,0.0,1.0,115.0,229.0,20.0,0.0188346937949521,1883.4693794952127
San Antonio,TX,2023,san_antonio_tx,62917,1258,219700,43479,1458954,699316,14587,28.4,17.3,848.1,0,9.2,"San Antonio, TX",365.0,152.0,201.0,10.0,1.0,0.0,1.0,309.0,53.0,0.0,1.0,137.0,227.0,0.0,0.0188346937949521,1883.4693794952127
Dallas,TX,2023,dallas_tx,67760,1403,295300,34531,1299553,656657,15351,25.7,15.5,1438.2,2,9.3,"Dallas, TX",365.0,75.0,237.0,44.0,9.0,0.0,0.0,177.0,60.0,0.0,2.0,148.0,213.0,2.0,0.0188346937949521,1883.4693794952127
Seattle,WA,2023,seattle_wa,121984,1998,912100,20234,741440,450872,62577,15.5,8.1,1006.7,25,8.0,"Seattle, WA",365.0,186.0,172.0,4.0,3.0,0.0,0.0,195.0,50.0,0.0,3.0,120.0,242.0,0.0,0.0181623838224995,1816.2383822499585
Kansas City,MO,2023,kansas_city_mo,67449,1186,227000,13143,508233,261836,5066,19.7,9.2,1098.1,23,9.3,"Kansas City, MO",365.0,124.0,212.0,25.0,4.0,0.0,0.0,166.0,55.0,0.0,5.0,144.0,203.0,13.0,0.0230455956940004,2304.559569400047
Oklahoma City,OK,2023,oklahoma_city_ok,66702,1083,215100,16686,688693,339628,1382,22.8,12.2,808.9,9,9.7,"Oklahoma City, OK",365.0,128.0,222.0,15.0,0.0,0.0,0.0,143.0,54.0,0.0,8.0,156.0,198.0,3.0,0.0209140855379852,2091.408553798527
Las Vegas,NV,2023,las_vegas_nv,70723,1456,395300,23277,650873,295260,7260,26.5,14.4,224.0,2,10.8,"Las Vegas, NV",365.0,106.0,233.0,25.0,1.0,0.0,0.0,197.0,61.0,0.0,1.0,247.0,101.0,16.0,0.0338454749527558,3384.5474952755894
Washington,DC,2023,washington_dc,106287,1900,724600,25748,672079,368917,82220,20.1,9.6,1117.4,6,8.9,"Washington, DC",365.0,158.0,187.0,16.0,3.0,1.0,0.0,222.0,52.0,0.0,5.0,161.0,198.0,1.0,,
Birmingham,AL,2024,birmingham_al,46051,1107,158800,5690,198173,90219,1110,23.2,13.1,1393.3,0,9.5,"Birmingham, AL",366.0,94.0,266.0,6.0,0.0,0.0,0.0,119.0,57.0,0.0,0.0,73.0,293.0,0.0,0.0277614073804717,2776.140738047172
Phoenix,AZ,2024,phoenix_az,81332,1582,420700,44679,1642323,829070,15841,30.8,16.8,176.0,1,10.9,,,,,,,,,,,,,,,,0.0299508298238779,2995.082982387792
Los Angeles,CA,2024,los_angeles_ca,81939,1933,921200,174992,3857263,1896780,115889,24.5,12.4,523.2,0,10.3,"Los Angeles, CA",366.0,37.0,195.0,78.0,47.0,9.0,0.0,230.0,80.0,0.0,1.0,197.0,159.0,9.0,0.0167348913376561,1673.489133765616
Denver,CO,2024,denver_co,94718,1831,616000,21863,718877,419619,15926,18.9,3.3,385.3,48,10.3,"Denver, CO",366.0,73.0,251.0,34.0,8.0,0.0,0.0,174.0,64.0,0.0,24.0,248.0,67.0,27.0,0.030738740363185,3073.8740363185007
Jacksonville,FL,2024,jacksonville_fl,69872,1465,293700,22790,977670,480531,4729,25.8,17.4,1375.0,0,9.8,"Jacksonville, FL",366.0,182.0,184.0,0.0,0.0,0.0,0.0,98.0,51.0,0.0,1.0,103.0,261.0,1.0,,
Atlanta,GA,2024,atlanta_ga,85652,1711,439600,17357,505268,271965,15571,22.8,12.5,1383.7,0,9.3,,,,,,,,,,,,,,,,0.0190529119254014,1905.29119254014
Chicago,IL,2024,chicago_il,77902,1440,334100,121431,2711226,1364366,241532,16.1,7.9,1030.8,33,9.0,"Chicago, IL",366.0,95.0,254.0,15.0,2.0,0.0,0.0,166.0,56.0,0.0,15.0,111.0,213.0,27.0,0.0165295686933459,1652.956869334592
New Orleans,LA,2024,new_orleans_la,56631,1251,315700,13896,371853,167719,7630,25.5,18.7,1986.7,0,9.4,"New Orleans, LA",366.0,199.0,161.0,5.0,1.0,0.0,0.0,188.0,48.0,0.0,3.0,163.0,199.0,1.0,0.0237232224838628,2372.322248386289
Baltimore,MD,2024,baltimore_md,62177,1331,229600,19227,573243,270602,27899,19.2,9.8,1237.2,11,8.9,"Baltimore, MD",366.0,215.0,139.0,11.0,1.0,0.0,0.0,154.0,47.0,0.0,2.0,203.0,161.0,0.0,0.018317867334793,1831.7867334793093
Detroit,MI,2024,detroit_mi,39938,1074,83900,37662,638530,223334,10899,16.1,7.6,939.4,38,8.6,"Detroit, MI",366.0,118.0,237.0,10.0,1.0,0.0,0.0,181.0,55.0,0.0,1.0,95.0,270.0,0.0,0.0178013406721214,1780.134067212149
